"","state_abbr","favor_dem","month","newcases_per100k_avg"
"78","CA",0,8,432.479665011064
"79","CA",0,9,225.024810352056
"80","CA",0,10,223.444291949913
"81","CA",0,11,927.640855727432
"82","CO",1,3,75.4668385386789
"83","CO",1,4,179.219766372664
"84","CO",1,5,178.237010351245
"85","CO",1,6,160.660699813453
"86","CO",1,7,202.099630515135
"87","CO",1,8,187.842738162831
"88","CO",1,9,146.61533420714
"89","CO",1,10,499.571930446546
"90","CO",1,11,1679.14666720636
"91","CO",0,3,28.78251235389
"92","CO",0,4,132.771166292791
"93","CO",0,5,158.813674554232
"94","CO",0,6,79.23662862916
"95","CO",0,7,190.227722541232
"96","CO",0,8,116.867207580488
"97","CO",0,9,130.250151001139
"98","CO",0,10,458.542237451057
"99","CO",0,11,2328.53694979143
"100","CT",1,3,64.100212850657
"101","CT",1,4,538.246971785372
"102","CT",1,5,359.057602978198
"103","CT",1,6,107.19911683589
"104","CT",1,7,78.4589254347871
"105","CT",1,8,80.9625582361466
"106","CT",1,9,132.031690931742
"107","CT",1,10,387.803789454278
"108","CT",1,11,1142.66427920468
"109","CT",0,3,38.2586752858822
"110","CT",0,4,308.382923816986
"111","CT",0,5,205.106277974202
"112","CT",0,6,122.547117133481
"113","CT",0,7,65.2036360497252
"114","CT",0,8,77.2936645768615
"115","CT",0,9,132.438388629763
"116","CT",0,10,318.814434626891
"117","CT",0,11,1099.22962405225
"118","DE",0,3,28.1887389664697
"119","DE",0,4,654.777376417282
"120","DE",0,5,622.076246351015
"121","DE",0,6,161.613942808012
"122","DE",0,7,329.810579617259
"123","DE",0,8,280.517837258112
"124","DE",0,9,192.166908806746
"125","DE",0,10,446.82017353341
"126","DE",0,11,923.137798333976
"127","DE",1,3,35.2570813937464
"128","DE",1,4,275.076822853748
"129","DE",1,5,362.23519157839
"130","DE",1,6,233.913732901658
"131","DE",1,7,309.439054465927
"132","DE",1,8,249.842059013553
"133","DE",1,9,389.796564850659
"134","DE",1,10,505.411156629137
"135","DE",1,11,1219.14334240711
"136","DC",1,3,70.1382502844496
"137","DC",1,4,542.40246886641
"138","DC",1,5,634.503201563162
"139","DC",1,6,216.22418168499
"140","DC",1,7,254.906489417626
"141","DC",1,8,264.399949557137
"142","DC",1,9,189.019042180719
"143","DC",1,10,274.885263741075
"144","DC",1,11,607.298062058891
"145","FL",1,3,33.0580287821608
"146","FL",1,4,142.547769177969
"147","FL",1,5,133.769453738146
"148","FL",1,6,442.278558454143
"149","FL",1,7,1627.92700766829
"150","FL",1,8,893.489296917251
